,freq,s_adj,age,unit,sex,geo,date,rate
203,M,SA,TOTAL,PC_ACT,T,ES,2020-09 ,16.6 
204,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-09 ,7.7 
205,M,SA,TOTAL,PC_ACT,T,FI,2020-09 ,8.4 
206,M,SA,TOTAL,PC_ACT,T,FR,2020-09 ,8.8 
207,M,SA,TOTAL,PC_ACT,T,HR,2020-09 ,8.0 
208,M,SA,TOTAL,PC_ACT,T,HU,2020-09 ,4.4 
209,M,SA,TOTAL,PC_ACT,T,IE,2020-09 ,6.8 
210,M,SA,TOTAL,PC_ACT,T,IS,2020-09 ,5.7 
211,M,SA,TOTAL,PC_ACT,T,IT,2020-09 ,9.5 
212,M,SA,TOTAL,PC_ACT,T,JP,2020-09 ,3.0 
213,M,SA,TOTAL,PC_ACT,T,LT,2020-09 ,10.5 
214,M,SA,TOTAL,PC_ACT,T,LU,2020-09 ,6.7 
215,M,SA,TOTAL,PC_ACT,T,LV,2020-09 ,8.3 
216,M,SA,TOTAL,PC_ACT,T,MT,2020-09 ,4.6 
217,M,SA,TOTAL,PC_ACT,T,NL,2020-09 ,4.4 
218,M,SA,TOTAL,PC_ACT,T,NO,2020-09 ,5.1 
219,M,SA,TOTAL,PC_ACT,T,PL,2020-09 ,3.3 
220,M,SA,TOTAL,PC_ACT,T,PT,2020-09 ,7.9 
221,M,SA,TOTAL,PC_ACT,T,RO,2020-09 ,5.1 
222,M,SA,TOTAL,PC_ACT,T,SE,2020-09 ,8.9 
223,M,SA,TOTAL,PC_ACT,T,SI,2020-09 ,5.0 
224,M,SA,TOTAL,PC_ACT,T,SK,2020-09 ,7.0 
225,M,SA,TOTAL,PC_ACT,T,TR,2020-09 ,12.7 
226,M,SA,TOTAL,PC_ACT,T,UK,2020-09 ,4.9 
227,M,SA,TOTAL,PC_ACT,T,US,2020-09 ,7.8 
228,M,SA,TOTAL,PC_ACT,T,AT,2020-10 ,5.4 
229,M,SA,TOTAL,PC_ACT,T,BE,2020-10 ,6.3 
230,M,SA,TOTAL,PC_ACT,T,BG,2020-10 ,5.2 
231,M,SA,TOTAL,PC_ACT,T,CH,2020-10 ,5.2 
